data_source_id,data_source_name,url,flags,location,created
1,local,http://localhost:55555/{DD}/{PHPF}/{FN},1,,2018-11-11 18:49:37.317083
2,github,https://github.com/sw-packages/{PH64}/raw/master/{FN},0,,2018-11-11 18:49:37.317083
3,s3,https://s3-eu-west-1.amazonaws.com/software-network/data/{PHPF}/{FN},0,,2018-11-11 18:49:37.317083
