package_version_id,package_id,version,target_version_id,flags,archive_version,group_number,prefix,updated,hash
946,857,1.22.0,,0,1,169,3,2018-08-12 22:25:15,3_2$edd5dbd698d3e72e4f0ccbe75dd5468109742effb11e77141f03758d76f18ef4d96bfe9df60a7873f0167e73a72d577e569455d7d6d8a1c5fa39553da30c1fb3
1442,1279,1.3.29,,0,1,201,3,2018-08-14 00:04:22,3_2$f8c1c7eaea328fb1bbf8d47b6f4dd115782e828cb5fc0271af7ee9d31b14d5fbb8a6e74cc47200ab3ad707c40ee6b7e1adefca5f16e5b8dc45e71bc4f1472aac
1457,1294,2.2.5,,0,1,208,3,2018-08-14 15:10:45,3_2$0d967013005d133a1846a7f1afbce4939291dcefb67a5400b29020668cb57f1a7276d9ebc269308e25ebef2a28fa7a9cb63a92f790052becf3e893e84430915e
1923,1531,4.0.3,,0,1,284,3,2018-08-22 18:41:07,3_2$f8d7af7aceb50eafb49bdc16cbb0eb8ef9e0b7045ec46517da8b5aca1bd254b0637693eeff274801f6ab4660887aaa2e290d2395cb92f2641e3f67fb5cd76026
1928,1572,5.1.4,,0,1,287,3,2018-08-23 02:38:01,3_2$cc379ee1ab96d9ae0fd26701d7889e4f8d6629fd65fe35b9ead21137b0bd17fd303099702eb68ad74a32f725b90f18c69c7a51838ce840b600d6de4334fad65d
1966,671,5.1.0,,0,1,299,3,2018-08-23 02:51:26,3_2$b005460675ccaccc53f813a6101a6aea8fa74c9e04a338e9da13249cf3d131b83ab16ba90ba0dd676df1e737da18d81125dcadceb5aaf1961b7431c436f18ec8
2096,849,master,,0,1,304,3,2018-08-23 02:55:39,3_2$8b0ef90d65e0733f7f6840cc664cc4f705cc4da7cbe22bc9c87d10efb5d564cbcfc6d83e3588a0cedea2e23fdd74594d20c78c84ba463868deef56a5bfa09d22
2097,1276,1.6.35,,0,1,305,3,2018-08-23 02:56:06,3_2$a1139ced7c2c25287a844c3137029c10fa1568c27071e50d55c9ea5a1d01e46122e106f85d13a236b0b1f1e3373a51c897aa5fa2e68816c3642e25c2e1a6cc6b
2098,1274,2.1.0,,0,1,306,3,2018-08-23 02:56:32,3_2$58babbf220818491afcd0a600a18cc60ac4fd5712b016b25ae1e0981fa9b5c1da56c6ede7619bef87867962d9fb6e87c6296b2fdb956afe3e14caadc3c4b7c96
2099,1635,1.42.3,,0,1,307,3,2018-08-23 03:10:34,3_2$d8c1fc83cc7e64c1bccb06b91d8fc3ee295afe5b0fd6f91ffe0a1f96207bc25d4bc044a1fca3399e377b9e9755f69361ce50eadadfff6bd172517e8b7d821118
2100,1328,1.42.3,,0,1,307,3,2018-08-23 03:10:34,3_2$fabab1c214d8d7a09f586c9b23cd940163ca5993eda13ba765811e998e69c9ec0dc742e5746476b3e921806059b160bdcfcbfd38582586e780e75e5419be92fb
2101,1329,1.42.3,,0,1,307,3,2018-08-23 03:10:34,3_2$e6b936fe4e79546e1749cf3c759a7e09a7c20fb333a7012435c4d9427ac9cd4386c0f9bed7c3a565b0aa979a8c76a1f7ef61b3cf7a3d514e423d31153b7b3e4f
2104,642,1.0.3,,0,1,310,3,2018-08-23 03:13:03,3_2$b0aa0ebef5089edf402c17949f54bcb4f6c160a7624b452b03977d19f597a17800b51d4ad6018ae3995b0ccf33d6e702ed111f6d9d9d4578bbfc96a5991e75ce
2105,639,1.15.0,,0,1,311,3,2018-08-23 03:13:32,3_2$170c3aa7f2c35de9f11a27ee12d3ecb30c96eea2f56e28a18b4e534ea42e5a26b38547daca63105189a649aa26c18cf791283f373682f9d1ee7f648d79ec6ef5
2106,640,1.15.0,,0,1,311,3,2018-08-23 03:13:32,3_2$983bd0538483965725c52bec3ebf36a24ecc40cc36ccb4efb20a9e486c4896050a27f179ae09ed48aaaea76259aa82f29ce380910772022765d2923d0bc54575
2109,1538,master,,0,1,313,3,2018-08-23 03:14:48,3_2$fcab1a000e328cc485f2ccce25b257a70f1ad131e5ddffea268bbc821391628b798772fb5363e2300e7b0b62d83e1326b42cb65e05a84bda3756bb07890ef101
2110,1536,master,,0,1,313,3,2018-08-23 03:14:48,3_2$8bd451fb826b83a03c108d0bbeb9453bb58247de1e3544a6725f25d68fc04ed0f0349b321a6c644b11705294a2bacc64ed17cdfcfbd014aa02a2db344496fbc5
2111,1537,master,,0,1,313,3,2018-08-23 03:14:48,3_2$0236ebf67f048864ac544da6cab133c004f040bc0b483040c7bdf436ef8cc311cde34e7b1f69b0ae7b4dac961eb01ff7ce3b2e9b98f9b69fa4fba3b8cb72dcec
